Date,prediction_score,prediction_label,Close,cumulative_profit
2025-04-04,0.3742,hold,202.69385,161.3203056699875
2025-04-07,0.4737,sell,187.92003,161.3203056699875
2025-04-08,0.5139,sell,181.01692,161.3203056699875
2025-04-09,0.4064,buy,171.99898,295.861025778201
2025-04-10,0.3967,hold,198.36446,295.861025778201
2025-04-11,0.4875,sell,189.95503,295.861025778201
2025-04-14,0.5263,sell,197.66615,295.861025778201
2025-04-15,0.3382,hold,202.0255,295.861025778201
2025-04-16,0.5366,hold,201.64641,295.861025778201
2025-04-17,0.4483,sell,193.79564,295.861025778201
2025-04-21,0.5048,sell,196.49902,295.861025778201
2025-04-22,0.643,sell,192.68835,295.861025778201
2025-04-23,0.678,hold,199.25229,295.861025778201
2025-04-24,0.7311,hold,204.10042,295.861025778201
2025-04-25,0.5447,buy,207.8612,-59.1268738124939
2025-04-28,0.5013,buy,208.76898,-59.1268738124939
2025-04-29,0.4735,buy,209.62689,-59.1268738124939
2025-04-30,0.6168,sell,210.69429,-44.81278422442441
2025-05-01,0.4248,sell,211.98112,-44.81278422442441
2025-05-02,0.5006,sell,212.79913,-44.81278422442441
2025-05-05,0.4662,buy,204.84859,26.195999673968238
2025-05-06,0.3814,hold,198.40436,26.195999673968238
2025-05-07,0.5508,hold,198.02528,26.195999673968238
2025-05-08,0.5506,hold,195.7708,26.195999673968238
2025-05-09,0.3759,hold,197.00778,26.195999673968238
2025-05-12,0.3873,hold,198.04524,26.195999673968238
2025-05-13,0.5489,buy,210.55104,26.195999673968238
2025-05-14,0.4508,sell,212.68861,36.34828025921002
2025-05-15,0.6149,sell,212.0893,36.34828025921002
2025-05-16,0.5304,sell,211.2103,36.34828025921002
2025-05-19,0.499,buy,211.02051,42.28618151187035
2025-05-20,0.5206,hold,208.54332,42.28618151187035
2025-05-21,0.759,sell,206.6255,42.28618151187035
2025-05-22,0.7106,sell,201.8609,42.28618151187035
2025-05-23,0.6231,sell,201.13173,42.28618151187035
2025-05-27,0.5038,buy,195.04865,162.3059548486137
2025-05-28,0.4844,sell,199.98305,162.3059548486137
2025-05-29,0.7062,sell,200.1928,162.3059548486137
2025-05-30,0.4257,buy,199.72333,165.9497393976102
2025-06-02,0.4598,buy,200.62231,165.9497393976102
2025-06-03,0.56,sell,201.47134,170.18171899235261
2025-06-04,0.3599,hold,203.03957,170.18171899235261
2025-06-05,0.423,sell,202.59009,170.18171899235261
2025-06-06,0.3879,hold,200.40257,170.18171899235261
2025-06-09,0.5132,buy,203.68883,164.75825708726362
2025-06-10,0.422,buy,201.22163,164.75825708726362
2025-06-11,0.5459,buy,202.44025,164.75825708726362
2025-06-12,0.4761,hold,198.55466,164.75825708726362
2025-06-13,0.5597,buy,198.97418,164.75825708726362
2025-06-16,0.5109,buy,196.2273,164.75825708726362
2025-06-17,0.6924,sell,198.19507,134.85964977908117
2025-06-18,0.6648,sell,195.41821,134.85964977908117
2025-06-20,0.6579,sell,196.35715,134.85964977908117
2025-06-23,0.3543,hold,200.77214,134.85964977908117
2025-06-24,0.3751,hold,201.27158,134.85964977908117
2025-06-25,0.4766,sell,200.07294,134.85964977908117
2025-06-26,0.4739,sell,201.33151,134.85964977908117
2025-06-27,0.47,hold,200.77214,134.85964977908117
2025-06-30,0.4266,hold,200.85205,134.85964977908117
2025-07-01,0.5207,sell,204.93741,134.85964977908117
2025-07-02,0.3523,hold,207.58441,134.85964977908117
2025-07-03,0.7729,hold,212.19917,134.85964977908117
2025-07-07,0.7927,hold,213.30792,134.85964977908117
2025-07-08,0.5417,sell,209.71199,134.85964977908117
2025-07-09,0.5813,sell,209.77193,134.85964977908117
2025-07-10,0.4101,sell,210.90065,134.85964977908117
2025-07-11,0.4403,hold,212.1692,134.85964977908117
2025-07-14,0.6068,hold,210.92062,134.85964977908117
2025-07-15,0.5115,hold,208.3835,134.85964977908117
2025-07-16,0.5041,hold,208.87296,134.85964977908117
2025-07-17,0.5522,hold,209.92177,134.85964977908117
2025-07-18,0.6881,hold,209.78192,134.85964977908117
2025-07-21,0.4846,hold,210.9406,134.85964977908117
2025-07-22,0.6318,hold,212.23912,134.85964977908117
2025-07-23,0.5798,hold,214.15695,134.85964977908117
2025-07-24,0.6327,hold,213.90723,134.85964977908117
2025-07-25,0.7297,hold,213.51767,134.85964977908117
2025-07-28,0.8189,hold,213.63754,134.85964977908117
2025-07-29,0.8814,sell,213.80736,134.85964977908117
2025-07-30,0.5638,sell,211.0305,134.85964977908117
2025-07-31,0.7351,sell,208.81302,134.85964977908117
2025-08-01,0.4879,buy,207.3347,34.892126691423044
2025-08-04,0.6714,buy,202.15059,34.892126691423044
2025-08-05,0.6989,buy,203.11949,34.892126691423044
2025-08-06,0.585,hold,202.68996,34.892126691423044
2025-08-07,0.4941,hold,213.00826,34.892126691423044
2025-08-08,0.5187,sell,219.78056,204.1301741608743
2025-08-11,0.7014,sell,229.09001,204.1301741608743
2025-08-12,0.5583,sell,227.18,204.1301741608743
2025-08-13,0.426,buy,229.65,190.8133557253351
2025-08-14,0.687,sell,233.33,190.8133557253351
2025-08-15,0.4665,buy,232.78,193.17054531707927
2025-08-18,0.4421,buy,231.59,193.17054531707927
2025-08-19,0.4462,sell,230.89,190.14797543361638
2025-08-20,0.4582,sell,230.56,190.14797543361638
2025-08-21,0.393,hold,226.01,190.14797543361638
2025-08-22,0.4195,hold,224.9,190.14797543361638
2025-08-25,0.4409,sell,227.76,190.14797543361638
2025-08-26,0.6047,sell,227.16,190.14797543361638
2025-08-27,0.6691,hold,229.31,190.14797543361638
2025-08-28,0.7242,hold,230.49,190.14797543361638
2025-08-29,0.5904,hold,232.56,190.14797543361638
2025-09-02,0.6181,hold,232.14,190.14797543361638
2025-09-03,0.6528,hold,229.72,190.14797543361638
2025-09-04,0.6642,hold,238.47,190.14797543361638
2025-09-05,0.6545,sell,239.78,190.14797543361638
2025-09-08,0.6415,sell,239.69,190.14797543361638
2025-09-09,0.5769,sell,237.88,190.14797543361638
2025-09-10,0.5057,hold,234.35,190.14797543361638
2025-09-11,0.3757,hold,226.79,190.14797543361638
2025-09-12,0.432,hold,230.03,190.14797543361638
2025-09-15,0.5528,buy,234.07,180.0772284217535
2025-09-16,0.4438,sell,236.7,180.0772284217535
2025-09-17,0.5609,buy,238.15,173.9513434748295
2025-09-18,0.5357,hold,238.99,173.9513434748295
2025-09-19,0.6908,hold,237.88,173.9513434748295
2025-09-22,0.5182,sell,245.5,173.9513434748295
2025-09-23,0.5295,sell,256.08,173.9513434748295
2025-09-24,0.4688,sell,254.43,173.9513434748295
2025-09-25,0.3992,hold,252.31,173.9513434748295
2025-09-26,0.6018,sell,256.87,173.9513434748295
2025-09-29,0.5133,sell,255.46,173.9513434748295
2025-09-30,0.6298,sell,254.43,173.9513434748295
2025-10-01,0.4432,hold,254.63,173.9513434748295
2025-10-02,0.4709,sell,255.45,173.9513434748295
2025-10-03,0.4155,sell,257.13,173.9513434748295
